Code,Name,Poverty
MS,Mississippi,26.884254143646384
AZ,Arizona,25.666441441441442
GA,Georgia,23.777403846153867
NM,New Mexico,23.080787037037044
AR,Arkansas,22.963216266173745
LA,Louisiana,22.33890063424948
SC,South Carolina,22.161518987341775
WV,West Virginia,21.134405940594043
OK,Oklahoma,20.657104194857908
AL,Alabama,20.647089041095896
MO,Missouri,20.105859374999987
KY,Kentucky,20.079999999999984
TX,Texas,19.918070175438604
TN,Tennessee,19.908391608391607
AK,Alaska,19.852994011976055
NC,North Carolina,19.747289972899722
ID,Idaho,18.236888888888878
DC,District of Columbia,18.0
MI,Michigan,17.9007225433526
FL,Florida,17.566010928961767
CA,California,17.12465023317787
ME,Maine,16.893846153846148
OR,Oregon,16.523466666666675
MT,Montana,16.51377410468319
SD,South Dakota,16.032291666666662
IN,Indiana,15.499852941176472
WA,Washington,15.017609046849746
OH,Ohio,14.851112943116238
KS,Kansas,14.762985074626851
VA,Virginia,14.58583473861719
IL,Illinois,13.879780219780226
VT,Vermont,13.785950413223137
MN,Minnesota,13.745736434108531
HI,Hawaii,13.400662251655628
CO,Colorado,13.362831858407073
NE,Nebraska,12.984575389948006
WI,Wisconsin,12.858687258687258
NH,New Hampshire,12.659793814432987
DE,Delaware,12.555844155844163
PA,Pennsylvania,12.515585893060292
NV,Nevada,12.466153846153842
IA,Iowa,12.292522432701885
ND,North Dakota,12.162250000000004
UT,Utah,11.982704402515722
NY,New York,11.668231349538978
RI,Rhode Island,10.369444444444444
MD,Maryland,10.312209302325588
WY,Wyoming,9.887700534759363
MA,Massachusetts,9.585306122448987
CT,Connecticut,9.137499999999996
NJ,New Jersey,8.190976058931854